id,date,updated,massif,sommet,description,orientation,latitude,longitude,tile_filename_zoom_16,Avalanche,elevations
1642072642225,1641942000000.0,1642074353000.0,aiguilles d arves,Aiguille de l'Epaisseur,"b""Apres s'etre decale trop sur la gauche par rapport a l'itineraire a la montee, j'ai vu une fissure partir au dessus de mes skis. En faisant demi-tour j'ai vu que la fissure courait de ma position jusqu'a une cinquantaine de metre plus haut.\r\nUne bonne plaque a vent.""",E,45.13092028612608,6.357382659110359,openstreat_map_z_16_x_33925_y_23541.png,1,3136.0
1642001062328,1641942000000.0,1642013122000.0,,,b'Descente du Pcheu au Mont Joly. \r\nDeclenchement naturel',E,45.82590226411512,6.693,openstreat_map_z_16_x_33986_y_23360.png,1,2497.0
1642005733893,1641855600000.0,1642005978000.0,Haute Maurienne,Pointe de Vallonbrun,"b""Petite avalanche partie spontanement, probablement hier (mardi 11/01) lors de l'episode de vent.\r\n\r\nC'est la seule avalanche observee ce jour dans ce versant.""",SE,45.31766740651071,6.937318037914648,openstreat_map_z_16_x_34030_y_23492.png,1,2609.0
1641931532871,1641855600000.0,1641931532000.0,Belledonne,pointe du sciallet,"b""Declenchement de la plaque par 1 skieur. \r\nDepart de celle-ci au premier virage, a 5m sous la ligne de crete.\r\n1 skieur ayant deja effectue une descente, plus a droite (orographiquement), celui-ci etant en attente en securite plus bas (auteur des photos)\r\nPlaque d'une centaine de metres de large, sur 100m de long, hauteur de cassure environ 60 a 80cm.\r\nSkieur prit au genoux, non enseveli, non blesse. Appel a l'usem pour annoncer la coulee, et qu'aucun skieur n'etait pris ou blesse (au cas ou d'autres skieurs au loin avaient vu la coulee + presence de traces avant la cassure)\r\nCondition de debut de ski : neige glacee sur 3m, changeant rapidement en poudre.\r\n\r\nSur la premiere photo, on distingue le debut de cassure qui se dessine au passage du skieur, sur toute la longueur de pente.""",E,45.21223595940398,6.013909128299987,openstreat_map_z_16_x_33862_y_23520.png,1,2280.0
1641918131562,1641855600000.0,1641918700000.0,Mont Thabor,Roche de la Pelle,"b""Avalanche spontanee partie tres probablement dans la matinee.\r\nDepart de la plaque sur une vielle couche fragile de gobelets au niveau du sol. L'ecoulement est descendu dans le fond du vallon, puis est remonte sur environ 80/100m de denivele sur le versant oppose, en faisant partir une nouvelle plaque (versant ouest pour cette 2eme plaque). Les deux ecoulement cumules ont laisse un depot tres important dans la fond du vallon.""",NE,45.13602953607808,6.551386985729573,openstreat_map_z_16_x_33960_y_23539.png,1,2829.0
1641903068359,1641855600000.0,1641903068000.0,Aravis,La Tournette,b'Petite coulee en haut du couloir de la tournette(3x5m). \r\nNeige bien ventee autour.',NE,45.82380512467826,6.287097930908204,openstreat_map_z_16_x_33912_y_23361.png,1,2285.0
1642083084126,1641769200000.0,1642083731000.0,Vanoise,Aussois,"b""Skieur surpris par le declenchement, car les pentes adjacentes avaient ete purgees en deux vastes plaques par un tir d'explosif. Emporte et partiellement enfoui, il fut rapidement degage indemne par son compagnon.""",S,45.265561,6.743746,openstreat_map_z_16_x_33995_y_23506.png,1,2700.0
1641843373158,1641769200000.0,1641843373000.0,Queyras,Sommet des Anges,"b""Risque 3 au BERA pour le secteur. Declenchement d'une petite plaque en descente a une rupture de pente mais celle ci n'est vraiment qu'un peu plus raide sur 4 - 5 m. Sur le moment je ne me suis pas arrete, c'est en remontant que je suis revenu dessus.\r\nLa cassure va de 20 a 50 cm d'epaisseur sur une vingtaine de metre. Le depot s'est vite arrete, au max une quinzaine de metre en dessous.\r\nElle a mobilise la couche de neige recente poudreuse legerement travaille par le vent. La couche fragile de 4 -5 cm d'epaisseur possede une legere cohesion, peut etre la chute de neige du milieu de semaine derniere. En dessous vieille neige regelee dure.\r\nPas d'autres departs observe dans la zone.""",SE,44.88936268299862,6.719051599502564,openstreat_map_z_16_x_33991_y_23603.png,1,2290.0
1642082593958,1641769200000.0,1642083084000.0,Vanoise,Aussois,"b'Un des nombreux tirs positifs realises pour la securisation des pistes, ce lundi matin.'",S,45.261933,6.735198,openstreat_map_z_16_x_33994_y_23507.png,1,2548.0
1642082396529,1641682800000.0,1642082584000.0,Vanoise,Pointe de l'Echelle,"b""Avalanche partie spontanement pendant l'episode de mauvais temps. Observee avec le retour de la visibilite.""",E,45.268586,6.696442,openstreat_map_z_16_x_33987_y_23505.png,1,2677.0
